Category,Parameter,debug,small,default,final_experiment
neural,neural.rho_input_scale,10.0,10.0,1.0,10.0
neural,neural.use_rho,True,True,True,True
neural,neural.use_service_rates,True,True,True,True
neural,neural.weight_decay,0.0001,0.0001,0.0001,0.0001
neural_training,neural_training.bc_label_smoothing,0.1,0.1,0.1,0.1
neural_training,neural_training.bc_lr,0.002,0.002,0.002,0.002
neural_training,neural_training.bc_num_steps,200,1000,1000,1000
neural_training,neural_training.checkpoint_freq,10,25,25,25
neural_training,neural_training.curriculum,"[[20, 1000]]","[[10, 200], [20, 1000], [20, 3000]]","[[20, 500], [30, 2000], [50, 5000]]","[[20, 500], [30, 2000], [50, 5000]]"
neural_training,neural_training.dga_learning_rate,0.1,0.1,0.1,0.1
neural_training,neural_training.eval_batches,1,2,5,5
neural_training,neural_training.eval_trajs_per_batch,3,5,10,10
neural_training,neural_training.gae_lambda,0.95,0.95,0.95,0.95
neural_training,neural_training.gamma,0.99,0.99,0.99,0.99
neural_training,neural_training.learning_rate,0.003,0.003,0.003,0.003
neural_training,neural_training.min_temperature,0.3,0.3,0.3,0.3
neural_training,neural_training.perf_index_jsq_margin,0.05,0.05,0.05,0.05
neural_training,neural_training.perf_index_min_denom,0.5,0.5,0.5,0.5
neural_training,neural_training.shake_scale,0.01,0.01,0.01,0.01
neural_training,neural_training.squash_scale,100.0,100.0,100.0,100.0
neural_training,neural_training.squash_threshold,500.0,500.0,500.0,500.0
neural_training,neural_training.weight_decay,0.0001,0.0001,0.0001,0.0001
output_dir,output_dir,outputs/debug,outputs/small,outputs,outputs/final
policy,policy.d,2,2,2,2
policy,policy.name,uas,uas,uas,uas
simulation,simulation.burn_in_fraction,0.2,0.2,0.2,0.2
simulation,simulation.export_trajectories,False,False,False,True
simulation,simulation.num_replications,10,10,50,64
simulation,simulation.seed,42,42,42,42
simulation,simulation.dga.sim_steps,1000,1000,5000,5000
simulation,simulation.dga.temperature,0.5,0.5,0.5,0.5
simulation,simulation.ssa.sample_interval,1.0,1.0,1.0,1.0
simulation,simulation.ssa.sim_time,1000.0,5000.0,5000.0,20000.0
stability_sweep,stability_sweep.alpha_vals,"[0.01, 0.1, 0.5, 1.0, 2.0, 5.0, 10.0, 50.0, 100.0]","[0.1, 1.0, 5.0]","[0.01, 0.1, 0.5, 1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.01, 0.1, 0.5, 1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]"
stability_sweep,stability_sweep.rho_vals,"[0.8, 0.85, 0.9, 0.95, 0.98]","[0.5, 0.8, 0.9]","[0.5, 0.7, 0.8, 0.9, 0.95, 0.98, 0.99]","[0.5, 0.7, 0.8, 0.9, 0.95, 0.98, 0.99]"
stress,stress.critical_load_base_rho,0.8,0.8,0.8,0.8
stress,stress.critical_load_max_sim_time,100000.0,100000.0,100000.0,400000.0
stress,stress.critical_load_n,10,10,10,10
stress,stress.critical_rhos,[0.9],"[0.9, 0.95]","[0.9, 0.95, 0.99]","[0.9, 0.95, 0.98, 0.99]"
stress,stress.heterogeneity_rho,0.5,0.5,0.5,0.5
stress,stress.heterogeneity_sim_time,1000.0,1000.0,1000.0,1000.0
stress,stress.massive_n_rho,0.8,0.8,0.8,0.8
stress,stress.massive_n_sim_time,500.0,500.0,500.0,500.0
stress,stress.mu_het,"[10.0, 0.1, 0.1, 0.1]","[10.0, 0.1, 0.1, 0.1]","[10.0, 0.1, 0.1, 0.1]","[10.0, 0.1, 0.1, 0.1]"
stress,stress.n_values,"[4, 8]","[4, 8, 16]","[8, 32, 128, 512, 1024]","[8, 32, 128, 512, 1024]"
stress,stress.sample_interval,1.0,1.0,1.0,1.0
system,system.alpha,1.0,1.0,1.0,1.0
system,system.arrival_rate,1.0,1.0,11.2,11.2
system,system.num_servers,2,2,10,10
system,system.service_rates,"[1.0, 1.5]","[1.0, 1.5]","[0.5, 0.7, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3]","[0.5, 0.7, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3]"
train_epochs,train_epochs,30,30,30,60
verification,verification.alpha_significance,0.05,0.05,0.05,0.05
verification,verification.confidence_interval,0.95,0.95,0.95,0.95
verification,verification.gradient_check_chunk_size,100,500,1500,1500
verification,verification.gradient_check_cosine_threshold,0.9,0.9,0.9,0.9
verification,verification.gradient_check_epsilon,0.05,0.05,0.05,0.05
verification,verification.gradient_check_error_threshold,0.3,0.4,0.4,0.4
verification,verification.gradient_check_hidden_size,128,null,null,null
verification,verification.gradient_check_max_steps,50,100,300,300
verification,verification.gradient_check_n_samples,5000,5000,15000,15000
verification,verification.gradient_check_n_test,50,50,50,50
verification,verification.gradient_check_sim_time,10.0,10.0,15.0,15.0
verification,verification.gradient_shake_scale,0.1,0.1,0.1,0.1
verification,verification.jacobian_rel_tol,0.05,0.05,0.05,0.05
verification,verification.parity_threshold_percent,25.0,25.0,25.0,25.0
verification,verification.parity_z_score,1.96,1.96,1.96,1.96
verification,verification.stationarity_threshold,1.0,1.0,1.0,1.0
wandb,wandb.enabled,False,False,False,False
wandb,wandb.entity,null,null,null,null
wandb,wandb.group,null,null,null,null
wandb,wandb.mode,offline,offline,offline,offline
wandb,wandb.project,GibbsQ-Debug,GibbsQ-Small,GibbsQ,GibbsQ
wandb,wandb.run_name,null,null,null,final
wandb,wandb.tags,[],[],[],[]
