Category,Parameter,Classification,Meaning,DecisionRule,debug,small,default,final_experiment
neural,neural.hidden_size,Workload-Defining,Width of the neural routing/value networks.,May vary when the profile intentionally changes model capacity.,64,128,64,128
neural,neural.init_type,Workload-Defining,Network initialization regime.,Change only when the intended model architecture changes.,zero_final,zero_final,xavier_uniform,zero_final
neural,neural.lr_decay_rate,Invariant,Learning-rate decay factor.,Keep fixed unless scheduler semantics change.,0.9,0.9,0.9,0.9
neural,neural.preprocessing,Workload-Defining,Input preprocessing applied before neural inference.,Change only when the intended model architecture changes.,log1p,log1p,none,log1p
neural,neural.rho_input_scale,Workload-Defining,Scaling applied to the rho input feature.,Change only when the intended feature encoding changes.,10.0,10.0,1.0,10.0
neural,neural.use_rho,Invariant,Whether load factor rho is fed to the neural model.,Keep fixed unless the model input contract changes.,True,True,True,True
neural,neural.use_service_rates,Invariant,Whether service rates are fed to the neural model.,Keep fixed unless the model input contract changes.,True,True,True,True
neural,neural.weight_decay,Invariant,Weight decay used by neural optimizers.,Keep fixed unless optimization regularization changes.,0.0001,0.0001,0.0001,0.0001
neural_training,neural_training.bc_label_smoothing,Invariant,Behavior-cloning label smoothing strength.,Keep fixed unless the training objective changes.,0.1,0.1,0.1,0.1
neural_training,neural_training.bc_lr,Invariant,Behavior-cloning learning rate.,Keep fixed unless the training objective changes.,0.002,0.002,0.002,0.002
neural_training,neural_training.bc_num_steps,Profile-Scaled,Behavior-cloning optimization step budget.,Increase with profile rigor.,200,1000,1000,1000
neural_training,neural_training.checkpoint_freq,Profile-Scaled,Checkpoint cadence during training.,May vary with profile budget and artifact needs.,10,25,25,25
neural_training,neural_training.curriculum,Profile-Scaled,Curriculum phases controlling horizon and epoch growth.,Scale with profile rigor while preserving intended progression.,"[[20, 1000]]","[[10, 200], [20, 1000], [20, 3000]]","[[20, 500], [30, 2000], [50, 5000]]","[[20, 500], [30, 2000], [50, 5000]]"
neural_training,neural_training.dga_learning_rate,Invariant,Learning rate used by DGA-backed training routines.,Keep fixed unless the training objective changes.,0.1,0.1,0.1,0.1
neural_training,neural_training.eval_batches,Profile-Scaled,Number of evaluation batches during training.,Increase with profile rigor.,1,2,5,5
neural_training,neural_training.eval_trajs_per_batch,Profile-Scaled,Trajectories per evaluation batch.,Increase with profile rigor.,3,5,10,10
neural_training,neural_training.gae_lambda,Invariant,GAE lambda used by RL routines.,Keep fixed unless the estimator changes.,0.95,0.95,0.95,0.95
neural_training,neural_training.gamma,Invariant,Discount factor used by RL routines.,Keep fixed unless the return definition changes.,0.99,0.99,0.99,0.99
neural_training,neural_training.learning_rate,Invariant,Top-level neural training learning rate.,Keep fixed unless the training objective changes.,0.003,0.003,0.003,0.003
neural_training,neural_training.min_temperature,Invariant,Minimum exploration or relaxation temperature during training.,Keep fixed unless training semantics change.,0.3,0.3,0.3,0.3
neural_training,neural_training.perf_index_jsq_margin,Invariant,JSQ margin used in performance-index normalization.,Keep fixed unless metric semantics change.,0.05,0.05,0.05,0.05
neural_training,neural_training.perf_index_min_denom,Invariant,Minimum denominator for performance-index normalization.,Keep fixed unless metric semantics change.,0.5,0.5,0.5,0.5
neural_training,neural_training.shake_scale,Invariant,Perturbation scale used by gradient-shake routines.,Keep fixed unless estimator semantics change.,0.01,0.01,0.01,0.01
neural_training,neural_training.squash_scale,Invariant,Scale factor for target squashing.,Keep fixed unless target transformation semantics change.,100.0,100.0,100.0,100.0
neural_training,neural_training.squash_threshold,Invariant,Threshold for target squashing.,Keep fixed unless target transformation semantics change.,500.0,500.0,500.0,500.0
neural_training,neural_training.weight_decay,Invariant,Weight decay used by training routines.,Keep fixed unless regularization policy changes.,0.0001,0.0001,0.0001,0.0001
policy,policy.d,Invariant,Power-of-d branching parameter when applicable.,Keep fixed unless the routing policy family changes.,2,2,2,2
policy,policy.name,Invariant,Root routing policy family used outside experiment-specific overrides.,Keep fixed unless changing the root policy semantics.,uas,uas,uas,uas
simulation,simulation.burn_in_fraction,Invariant,Fraction of each trajectory discarded as burn-in.,Keep fixed unless the stationarity protocol changes.,0.2,0.2,0.2,0.2
simulation,simulation.export_trajectories,Profile-Scaled,Whether raw trajectories are persisted to disk.,Enable for final/publication artifact retention only when needed.,False,False,False,True
simulation,simulation.num_replications,Profile-Scaled,Number of independent Monte Carlo replications.,Scale upward with rigor and statistical confidence.,10,10,50,64
simulation,simulation.seed,Invariant,Base random seed for reproducibility.,Keep constant across profiles unless intentionally reseeding experiments.,42,42,42,42
stability_sweep,stability_sweep.alpha_vals,Profile-Scaled,Alpha sweep used by stability exploration.,Increase breadth with rigor.,"[0.01, 0.1, 0.5, 1.0, 2.0, 5.0, 10.0, 50.0, 100.0]","[0.1, 1.0, 5.0]","[0.01, 0.1, 0.5, 1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.01, 0.1, 0.5, 1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]"
stability_sweep,stability_sweep.rho_vals,Profile-Scaled,Rho sweep used by stability exploration.,Increase breadth with rigor.,"[0.8, 0.85, 0.9, 0.95, 0.98]","[0.5, 0.8, 0.9]","[0.5, 0.7, 0.8, 0.9, 0.95, 0.98, 0.99]","[0.5, 0.7, 0.8, 0.9, 0.95, 0.98, 0.99]"
stress,stress.critical_load_base_rho,Invariant,Base load used by critical-load horizon scaling.,Keep fixed unless the scaling law changes.,0.8,0.8,0.8,0.8
stress,stress.critical_load_max_sim_time,Profile-Scaled,Maximum allowed horizon for critical-load experiments.,Increase with rigor to avoid truncating near-capacity runs.,100000.0,100000.0,100000.0,400000.0
stress,stress.critical_load_n,Invariant,Server count used in critical-load stress experiments.,Keep fixed unless the benchmark definition changes.,10,10,10,10
stress,stress.critical_rhos,Profile-Scaled,Load factors examined in critical-load stress runs.,Increase breadth and extremity with rigor.,[0.9],"[0.9, 0.95]","[0.9, 0.95, 0.99]","[0.9, 0.95, 0.98, 0.99]"
stress,stress.heterogeneity_rho,Invariant,Target load factor for heterogeneity experiments.,Keep fixed so heterogeneity comparisons stay comparable.,0.5,0.5,0.5,0.5
stress,stress.heterogeneity_sim_time,Invariant,Trajectory horizon for heterogeneity experiments.,Keep fixed unless the heterogeneity protocol changes.,1000.0,1000.0,1000.0,1000.0
stress,stress.massive_n_rho,Invariant,Target load factor for massive-N stress runs.,Keep fixed so scale comparisons stay comparable.,0.8,0.8,0.8,0.8
stress,stress.massive_n_sim_time,Invariant,Trajectory horizon for massive-N stress runs.,Keep fixed unless the stress protocol changes.,500.0,500.0,500.0,500.0
stress,stress.mu_het,Invariant,Canonical heterogeneous service-rate vector for heterogeneity stress tests.,Keep fixed so heterogeneity comparisons remain comparable.,"[10.0, 0.1, 0.1, 0.1]","[10.0, 0.1, 0.1, 0.1]","[10.0, 0.1, 0.1, 0.1]","[10.0, 0.1, 0.1, 0.1]"
stress,stress.n_values,Profile-Scaled,Server-count grid used by scaling stress experiments.,Increase with profile rigor.,"[4, 8]","[4, 8, 16]","[8, 32, 128, 512, 1024]","[8, 32, 128, 512, 1024]"
stress,stress.sample_interval,Invariant,Sampling interval for stress trajectories.,Keep fixed unless measurement resolution changes.,1.0,1.0,1.0,1.0
system,system.alpha,Invariant,Inverse temperature alpha used by the routing policy.,Keep fixed unless intentionally changing the theoretical policy regime.,1.0,1.0,1.0,1.0
system,system.arrival_rate,Workload-Defining,Poisson arrival rate lambda of the modeled system.,Only vary when the profile intentionally changes the modeled queueing regime.,1.0,1.0,11.2,11.2
system,system.num_servers,Workload-Defining,Number of parallel servers in the modeled queueing system.,Only vary when the profile intentionally changes the modeled queueing regime.,2,2,10,10
system,system.service_rates,Workload-Defining,Per-server service rates of the modeled system.,Only vary when the profile intentionally changes the modeled queueing regime.,"[1.0, 1.5]","[1.0, 1.5]","[0.5, 0.7, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3]","[0.5, 0.7, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3]"
verification,verification.alpha_significance,Invariant,Alpha level for statistical significance tests.,Keep fixed unless verification criteria change.,0.05,0.05,0.05,0.05
verification,verification.confidence_interval,Invariant,Confidence level used by reporting and verification intervals.,Keep fixed unless verification criteria change.,0.95,0.95,0.95,0.95
verification,verification.gradient_check_chunk_size,Profile-Scaled,Chunk size used during gradient verification.,Increase with profile rigor.,100,500,1500,1500
verification,verification.gradient_check_cosine_threshold,Invariant,Minimum cosine similarity accepted by gradient verification.,Keep fixed unless success criteria change.,0.9,0.9,0.9,0.9
verification,verification.gradient_check_epsilon,Invariant,Finite-difference epsilon used in gradient checks.,Keep fixed unless estimator semantics change.,0.05,0.05,0.05,0.05
verification,verification.gradient_check_error_threshold,Profile-Scaled,Maximum allowed relative error in gradient verification.,May vary between smoke and research-grade checks.,0.3,0.4,0.4,0.4
verification,verification.gradient_check_hidden_size,Profile-Scaled,Optional hidden-size override used in gradient checks.,Only vary when the verification workload intentionally changes.,128,null,null,null
verification,verification.gradient_check_max_steps,Profile-Scaled,Maximum optimization or evaluation steps used in gradient checks.,Increase with profile rigor.,50,100,300,300
verification,verification.gradient_check_n_samples,Profile-Scaled,Number of Monte Carlo samples used in gradient checks.,Increase with profile rigor.,5000,5000,15000,15000
verification,verification.gradient_check_n_test,Invariant,Number of test points used in gradient checks.,Keep fixed unless the verification protocol changes.,50,50,50,50
verification,verification.gradient_check_sim_time,Profile-Scaled,Simulation horizon used inside gradient checks.,Increase with profile rigor.,10.0,10.0,15.0,15.0
verification,verification.gradient_shake_scale,Invariant,Perturbation scale used in gradient robustness checks.,Keep fixed unless verification semantics change.,0.1,0.1,0.1,0.1
verification,verification.jacobian_rel_tol,Invariant,Relative tolerance for Jacobian and gradient verification.,Keep fixed unless verification criteria change.,0.05,0.05,0.05,0.05
verification,verification.parity_threshold_percent,Invariant,Allowed parity margin for verification checks.,Keep fixed unless success criteria change.,25.0,25.0,25.0,25.0
verification,verification.parity_z_score,Invariant,Z-score used in parity-style statistical bounds.,Keep fixed unless verification criteria change.,1.96,1.96,1.96,1.96
verification,verification.stationarity_threshold,Invariant,Required fraction of replications meeting stationarity.,Keep fixed unless certification criteria change.,1.0,1.0,1.0,1.0
wandb,wandb.enabled,Metadata/Output,Whether W&B logging is enabled.,Operational metadata; may vary by execution environment.,False,False,False,False
wandb,wandb.entity,Metadata/Output,Optional W&B entity/account name.,Operational metadata; keep stable unless logging ownership changes.,null,null,null,null
wandb,wandb.group,Metadata/Output,Optional W&B grouping label at the root profile level.,Operational metadata; may vary by run organization policy.,null,null,null,null
wandb,wandb.mode,Metadata/Output,W&B online or offline mode.,Operational metadata; may vary by execution environment.,offline,offline,offline,offline
wandb,wandb.project,Metadata/Output,W&B project name used for logging runs.,Operational metadata; should reflect the intended profile namespace.,GibbsQ-Debug,GibbsQ-Small,GibbsQ,GibbsQ
wandb,wandb.run_name,Metadata/Output,Explicit W&B run name.,Operational metadata; may vary by profile or run intent.,null,null,null,final
wandb,wandb.tags,Metadata/Output,Optional W&B tags attached to runs.,Operational metadata; may vary by reporting needs.,[],[],[],[]
experiments,experiments.drift.batch_size,Experiment-Specific Override,drift override of mini-batch size for training/evaluation routines that consume it..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,64,N/A
experiments,experiments.drift.log_dir,Experiment-Specific Override,drift override of derived log directory for the profile outputs..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,outputs/sota/logs,N/A
experiments,experiments.drift.output_dir,Experiment-Specific Override,drift override of base output directory for run artifacts..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,outputs/sota,N/A
experiments,experiments.drift.train_epochs,Experiment-Specific Override,drift override of training epoch budget for the main training loop..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,100,N/A
simulation,simulation.dga.sim_steps,Profile-Scaled,Number of differentiable approximation steps.,Increase with rigor when DGA-backed routines need more resolution.,1000,1000,5000,5000
simulation,simulation.dga.temperature,Invariant,Relaxation temperature for differentiable event selection.,Keep fixed unless the DGA objective changes.,0.5,0.5,0.5,0.5
simulation,simulation.ssa.sample_interval,Invariant,Sampling interval for SSA trajectory snapshots.,Keep fixed unless measurement resolution changes.,1.0,1.0,1.0,1.0
simulation,simulation.ssa.sim_time,Profile-Scaled,Continuous-time SSA horizon per trajectory.,Increase with rigor or when the experiment needs longer convergence.,1000.0,5000.0,5000.0,20000.0
experiments,experiments.drift.domain_randomization.enabled,Experiment-Specific Override,drift override of whether domain randomization is used during training..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,True,N/A
experiments,experiments.drift.domain_randomization.rho_max,Experiment-Specific Override,drift override of maximum randomized load factor used during training..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.98,N/A
experiments,experiments.drift.domain_randomization.rho_min,Experiment-Specific Override,drift override of minimum randomized load factor used during training..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.7,N/A
experiments,experiments.drift.drift.q_max,Experiment-Specific Override,drift override of queue grid upper bound for drift verification..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,200,N/A
experiments,experiments.drift.drift.use_grid,Experiment-Specific Override,drift override of whether drift verification uses grid evaluation..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,True,N/A
experiments,experiments.drift.generalization.rho_boundary_vals,Experiment-Specific Override,drift override of boundary-load values used by generalization evaluations..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,"[0.9, 0.95, 0.98]",N/A
experiments,experiments.drift.generalization.rho_grid_vals,Experiment-Specific Override,drift override of grid of load factors used in generalization heatmaps..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,"[0.5, 0.7, 0.85, 0.95, 0.98]",N/A
experiments,experiments.drift.generalization.scale_vals,Experiment-Specific Override,drift override of problem-scale multipliers used in generalization sweeps..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,"[0.5, 1.0, 2.0, 5.0, 10.0]",N/A
experiments,experiments.drift.jax.enabled,Experiment-Specific Override,drift override of whether JAX acceleration is enabled at the root profile level..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,False,N/A
experiments,experiments.drift.jax.fallback_to_cpu,Experiment-Specific Override,drift override of whether JAX may fall back to CPU when the target platform is unavailable..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,True,N/A
experiments,experiments.drift.jax.platform,Experiment-Specific Override,drift override of requested JAX backend selection policy..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,auto,N/A
experiments,experiments.drift.jax.precision,Experiment-Specific Override,drift override of requested JAX floating-point precision..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,float64,N/A
experiments,experiments.drift.neural.actor_lr,Experiment-Specific Override,drift override of actor network learning rate..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.0003,N/A
experiments,experiments.drift.neural.clip_global_norm,Experiment-Specific Override,drift override of gradient clipping threshold for neural optimization..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.5,N/A
experiments,experiments.drift.neural.critic_lr,Experiment-Specific Override,drift override of critic/value network learning rate..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.003,N/A
experiments,experiments.drift.neural.entropy_bonus,Experiment-Specific Override,drift override of base entropy regularization coefficient..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.01,N/A
experiments,experiments.drift.neural.hidden_size,Experiment-Specific Override,drift override of width of the neural routing/value networks..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,128,N/A
experiments,experiments.drift.neural.init_type,Experiment-Specific Override,drift override of network initialization regime..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,zero_final,N/A
experiments,experiments.drift.neural.preprocessing,Experiment-Specific Override,drift override of input preprocessing applied before neural inference..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,log1p,N/A
experiments,experiments.drift.neural.rho_input_scale,Experiment-Specific Override,drift override of scaling applied to the rho input feature..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,10.0,N/A
experiments,experiments.drift.neural.use_rho,Experiment-Specific Override,drift override of whether load factor rho is fed to the neural model..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,True,N/A
experiments,experiments.drift.neural.use_service_rates,Experiment-Specific Override,drift override of whether service rates are fed to the neural model..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,True,N/A
experiments,experiments.drift.neural.weight_decay,Experiment-Specific Override,drift override of weight decay used by neural optimizers..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.0001,N/A
experiments,experiments.drift.neural_training.curriculum,Experiment-Specific Override,drift override of curriculum phases controlling horizon and epoch growth..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,"[[10, 500], [20, 2000], [30, 10000]]",N/A
experiments,experiments.drift.neural_training.min_temperature,Experiment-Specific Override,drift override of minimum exploration or relaxation temperature during training..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.3,N/A
experiments,experiments.drift.policy.d,Experiment-Specific Override,drift override of power-of-d branching parameter when applicable..,Only valid when this experiment's semantics intentionally diverge from the profile root.,2,2,2,2
experiments,experiments.drift.policy.name,Experiment-Specific Override,drift override of root routing policy family used outside experiment-specific overrides..,Only valid when this experiment's semantics intentionally diverge from the profile root.,softmax,softmax,softmax,softmax
experiments,experiments.drift.simulation.burn_in_fraction,Experiment-Specific Override,drift override of fraction of each trajectory discarded as burn-in..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.1,N/A
experiments,experiments.drift.simulation.num_replications,Experiment-Specific Override,drift override of number of independent Monte Carlo replications..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,20,N/A
experiments,experiments.drift.stability_sweep.alpha_vals,Experiment-Specific Override,drift override of alpha sweep used by stability exploration..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,"[0.01, 0.1, 0.5, 1.0, 2.0, 5.0, 10.0, 50.0, 100.0]",N/A
experiments,experiments.drift.stability_sweep.rho_vals,Experiment-Specific Override,drift override of rho sweep used by stability exploration..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,"[0.8, 0.85, 0.9, 0.95, 0.98]",N/A
experiments,experiments.drift.stress.critical_load_base_rho,Experiment-Specific Override,drift override of base load used by critical-load horizon scaling..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.8,N/A
experiments,experiments.drift.stress.critical_load_max_sim_time,Experiment-Specific Override,drift override of maximum allowed horizon for critical-load experiments..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,500000.0,N/A
experiments,experiments.drift.stress.critical_rhos,Experiment-Specific Override,drift override of load factors examined in critical-load stress runs..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,"[0.9, 0.95, 0.98]",N/A
experiments,experiments.drift.stress.n_values,Experiment-Specific Override,drift override of server-count grid used by scaling stress experiments..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,"[2, 4, 8]",N/A
experiments,experiments.drift.system.alpha,Experiment-Specific Override,drift override of inverse temperature alpha used by the routing policy..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,1.0,N/A
experiments,experiments.drift.system.arrival_rate,Experiment-Specific Override,drift override of poisson arrival rate lambda of the modeled system..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,2.375,N/A
experiments,experiments.drift.system.num_servers,Experiment-Specific Override,drift override of number of parallel servers in the modeled queueing system..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,2,N/A
experiments,experiments.drift.system.service_rates,Experiment-Specific Override,drift override of per-server service rates of the modeled system..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,"[1.0, 1.5]",N/A
experiments,experiments.drift.wandb.enabled,Experiment-Specific Override,drift override of whether W&B logging is enabled..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,False,N/A
experiments,experiments.drift.wandb.project,Experiment-Specific Override,drift override of w&B project name used for logging runs..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,GibbsQ-SOTA,N/A
experiments,experiments.hyperqual.study.allow_wandb,Experiment-Specific Override,hyperqual override of parameter within the study configuration family..,Only valid when this experiment's semantics intentionally diverge from the profile root.,False,False,False,False
experiments,experiments.hyperqual.study.candidate_count,Experiment-Specific Override,hyperqual override of parameter within the study configuration family..,Only valid when this experiment's semantics intentionally diverge from the profile root.,12,12,8,4
experiments,experiments.hyperqual.study.candidate_manifest,Experiment-Specific Override,hyperqual override of parameter within the study configuration family..,Only valid when this experiment's semantics intentionally diverge from the profile root.,null,null,null,null
experiments,experiments.hyperqual.study.full_certification,Experiment-Specific Override,hyperqual override of parameter within the study configuration family..,Only valid when this experiment's semantics intentionally diverge from the profile root.,False,False,False,True
experiments,experiments.hyperqual.study.mode,Experiment-Specific Override,hyperqual override of parameter within the study configuration family..,Only valid when this experiment's semantics intentionally diverge from the profile root.,full,full,full,full
experiments,experiments.hyperqual.study.promote_top_k,Experiment-Specific Override,hyperqual override of parameter within the study configuration family..,Only valid when this experiment's semantics intentionally diverge from the profile root.,3,3,3,2
experiments,experiments.hyperqual.study.random_seed,Experiment-Specific Override,hyperqual override of parameter within the study configuration family..,Only valid when this experiment's semantics intentionally diverge from the profile root.,20260331,20260331,20260331,20260331
experiments,experiments.hyperqual.study.seed_values,Experiment-Specific Override,hyperqual override of parameter within the study configuration family..,Only valid when this experiment's semantics intentionally diverge from the profile root.,[],[],[],[]
experiments,experiments.hyperqual.study.stage,Experiment-Specific Override,hyperqual override of parameter within the study configuration family..,Only valid when this experiment's semantics intentionally diverge from the profile root.,A,A,B,C
experiments,experiments.policy.jax.enabled,Experiment-Specific Override,policy override of whether JAX acceleration is enabled at the root profile level..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,True,True,N/A
experiments,experiments.policy.jax.fallback_to_cpu,Experiment-Specific Override,policy override of whether JAX may fall back to CPU when the target platform is unavailable..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,True,True,N/A
experiments,experiments.policy.jax.platform,Experiment-Specific Override,policy override of requested JAX backend selection policy..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,auto,auto,N/A
experiments,experiments.policy.jax.precision,Experiment-Specific Override,policy override of requested JAX floating-point precision..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,float32,float32,N/A
experiments,experiments.policy.wandb.enabled,Experiment-Specific Override,policy override of whether W&B logging is enabled..,Only valid when this experiment's semantics intentionally diverge from the profile root.,True,True,True,True
experiments,experiments.policy.wandb.group,Experiment-Specific Override,policy override of optional W&B grouping label at the root profile level..,Only valid when this experiment's semantics intentionally diverge from the profile root.,policy_evaluation,policy_evaluation,policy_evaluation,policy_evaluation
experiments,experiments.policy.wandb.mode,Experiment-Specific Override,policy override of w&B online or offline mode..,Only valid when this experiment's semantics intentionally diverge from the profile root.,offline,offline,offline,offline
experiments,experiments.policy.wandb.project,Experiment-Specific Override,policy override of w&B project name used for logging runs..,Only valid when this experiment's semantics intentionally diverge from the profile root.,GibbsQ-Paper,GibbsQ-Paper,GibbsQ-Paper,GibbsQ-Paper
experiments,experiments.reinforce_check.jax.enabled,Experiment-Specific Override,reinforce_check override of whether JAX acceleration is enabled at the root profile level..,Only valid when this experiment's semantics intentionally diverge from the profile root.,False,False,False,False
